time,event,amount
2024-03-19T15:20:51,Strategy,$5910.00
2024-03-19T15:20:51,Account,$255910.00
2024-03-19T16:26:01,Profit,$900.00
2024-03-19T16:26:01,Strategy,$6810.00
2024-03-19T16:26:01,Account,$256810.00
2024-03-19T18:18:25,Loss,$-375.00
2024-03-19T18:18:25,Strategy,$6435.00
2024-03-19T18:18:25,Account,$256435.00
2024-03-19T18:27:07,Loss,$-1850.00
2024-03-19T18:27:07,Strategy,$4585.00
2024-03-19T18:27:07,Account,$254585.00
2024-03-19T18:45:18,Loss,$-1875.00
2024-03-19T18:45:18,Strategy,$2710.00
2024-03-19T18:45:18,Account,$252710.00
2024-03-19T19:13:51,Loss,$-550.00
2024-03-19T19:13:51,Strategy,$2160.00
2024-03-19T19:13:51,Account,$252160.00
2024-03-19T19:57:35,Profit,$75.00
2024-03-19T19:57:35,Strategy,$2235.00
2024-03-19T19:57:35,Account,$252235.00
2024-03-19T20:12:38,Profit,$440.00
2024-03-19T20:12:38,Strategy,$2675.00
2024-03-19T20:12:38,Account,$254255.00
2024-03-19T20:15:10,Profit,$720.00
2024-03-19T20:15:10,Strategy,$3395.00
2024-03-19T20:15:10,Account,$255405.00
2024-03-19T20:15:26,Profit,$830.00
2024-03-19T20:15:26,Strategy,$4225.00
2024-03-19T20:15:26,Account,$255775.00
2024-03-19T20:16:01,Profit,$1400.00
2024-03-19T20:16:01,Strategy,$5625.00
2024-03-19T20:16:01,Account,$255625.00
2024-03-19T20:33:21,Loss,$-1400.00
2024-03-19T20:33:21,Strategy,$4225.00
2024-03-19T20:33:21,Account,$254225.00
2024-03-20T07:23:32,Loss,$-2075.00
2024-03-20T07:23:32,Strategy,$2150.00
2024-03-20T07:23:32,Account,$252150.00
2024-03-20T13:50:03,Profit,$275.00
2024-03-20T13:50:03,Strategy,$2425.00
2024-03-20T13:50:03,Account,$252425.00
2024-03-20T14:52:27,Loss,$-1200.00
2024-03-20T14:52:27,Strategy,$1225.00
2024-03-20T14:52:27,Account,$251225.00
2024-03-20T15:03:31,Loss,$-1525.00
2024-03-20T15:03:31,Strategy,$-300.00
2024-03-20T15:03:31,Account,$249700.00
2024-03-20T17:23:32,Loss,$-350.00
2024-03-20T17:23:32,Strategy,$-650.00
2024-03-20T17:23:32,Account,$249350.00
2024-03-20T17:35:18,Loss,$-500.00
2024-03-20T17:35:18,Strategy,$-1150.00
2024-03-20T17:35:18,Account,$248850.00
2024-03-20T18:15:21,Profit,$350.00
2024-03-20T18:15:21,Strategy,$-800.00
2024-03-20T18:15:21,Account,$249200.00
2024-03-20T19:00:07,Profit,$990.00
2024-03-20T19:00:07,Strategy,$190.00
2024-03-20T19:00:07,Account,$250740.00
2024-03-20T19:00:07,Profit,$550.00
2024-03-20T19:00:07,Strategy,$740.00
2024-03-20T19:00:07,Account,$250740.00
2024-03-20T19:01:12,Loss,$-1925.00
2024-03-20T19:01:12,Strategy,$-1185.00
2024-03-20T19:01:12,Account,$248815.00
2024-03-20T19:03:21,Profit,$75.00
2024-03-20T19:03:21,Strategy,$-1110.00
2024-03-20T19:03:21,Account,$248890.00
2024-03-20T19:09:47,Profit,$440.00
2024-03-20T19:09:47,Strategy,$-670.00
2024-03-20T19:09:47,Account,$250950.00
2024-03-20T19:09:47,Loss,$-240.00
2024-03-20T19:09:47,Strategy,$-910.00
2024-03-20T19:09:47,Account,$249090.00
2024-03-20T19:34:21,Profit,$440.00
2024-03-20T19:34:21,Strategy,$-470.00
2024-03-20T19:34:21,Account,$251010.00
2024-03-20T19:35:16,Profit,$1550.00
2024-03-20T19:35:16,Strategy,$1080.00
2024-03-20T19:35:16,Account,$252780.00
2024-03-20T19:35:26,Profit,$1270.00
2024-03-20T19:35:26,Strategy,$2350.00
2024-03-20T19:35:26,Account,$252350.00
2024-03-20T19:39:06,Loss,$-400.00
2024-03-20T19:39:06,Strategy,$1950.00
2024-03-20T19:39:06,Account,$251950.00
2024-03-20T19:41:04,Profit,$825.00
2024-03-20T19:41:04,Strategy,$2775.00
2024-03-20T19:41:04,Account,$252775.00
2024-03-20T19:57:07,Profit,$440.00
2024-03-20T19:57:07,Strategy,$3215.00
2024-03-20T19:57:07,Account,$254895.00
2024-03-20T19:57:16,Profit,$1200.00
2024-03-20T19:57:16,Strategy,$4415.00
2024-03-20T19:57:16,Account,$254415.00
2024-03-20T20:00:45,Loss,$-1200.00
2024-03-20T20:00:45,Strategy,$3215.00
2024-03-20T20:00:45,Account,$253215.00
2024-03-20T20:02:27,Profit,$250.00
2024-03-20T20:02:27,Strategy,$3465.00
2024-03-20T20:02:27,Account,$253465.00
2024-03-20T20:05:00,Loss,$-825.00
2024-03-20T20:05:00,Strategy,$2640.00
2024-03-20T20:05:00,Account,$252640.00
2024-03-20T20:51:16,Loss,$-300.00
2024-03-20T20:51:16,Strategy,$2340.00
2024-03-20T20:51:16,Account,$252340.00
2024-03-20T20:59:38,Loss,$-2000.00
2024-03-20T20:59:38,Strategy,$340.00
2024-03-20T20:59:38,Account,$250340.00
2024-03-21T09:13:56,Profit,$440.00
2024-03-21T09:13:56,Strategy,$780.00
2024-03-21T09:13:56,Account,$252500.00
2024-03-21T09:24:31,Profit,$1920.00
2024-03-21T09:24:31,Strategy,$2700.00
2024-03-21T09:24:31,Account,$252700.00
2024-03-21T14:58:45,Loss,$-750.00
2024-03-21T14:58:45,Strategy,$1950.00
2024-03-21T14:58:45,Account,$251950.00
2024-03-21T15:02:18,Loss,$-1550.00
2024-03-21T15:02:18,Strategy,$400.00
2024-03-21T15:02:18,Account,$250400.00
2024-03-21T15:19:59,Loss,$-1950.00
2024-03-21T15:19:59,Strategy,$-1550.00
2024-03-21T15:19:59,Account,$248450.00
2024-03-21T15:41:56,Loss,$-225.00
2024-03-21T15:41:56,Strategy,$-1775.00
2024-03-21T15:41:56,Account,$248225.00
2024-03-21T16:07:16,Profit,$440.00
2024-03-21T16:07:16,Strategy,$-1335.00
2024-03-21T16:07:16,Account,$250465.00
2024-03-21T16:07:58,Profit,$1460.00
2024-03-21T16:07:58,Strategy,$125.00
2024-03-21T16:07:58,Account,$250125.00
2024-03-21T16:20:19,Loss,$-1200.00
2024-03-21T16:20:19,Strategy,$-1075.00
2024-03-21T16:20:19,Account,$248925.00
2024-03-21T18:02:05,Profit,$650.00
2024-03-21T18:02:05,Strategy,$-425.00
2024-03-21T18:02:05,Account,$249575.00
2024-03-21T18:53:03,Profit,$440.00
2024-03-21T18:53:03,Strategy,$15.00
2024-03-21T18:53:03,Account,$251815.00
2024-03-21T18:55:18,Profit,$720.00
2024-03-21T18:55:18,Strategy,$735.00
2024-03-21T18:55:18,Account,$252850.00
2024-03-21T19:00:20,Profit,$1770.00
2024-03-21T19:00:20,Strategy,$2505.00
2024-03-21T19:00:20,Account,$252505.00
2024-03-21T19:57:20,Profit,$1000.00
2024-03-21T19:57:20,Strategy,$3505.00
2024-03-21T19:57:20,Account,$253505.00
2024-03-21T20:38:26,Profit,$650.00
2024-03-21T20:38:26,Strategy,$4155.00
2024-03-21T20:38:26,Account,$254155.00
2024-03-21T20:51:00,Loss,$-1275.00
2024-03-21T20:51:00,Strategy,$2880.00
2024-03-21T20:51:00,Account,$252880.00
2024-03-21T20:59:56,Exit on session close,18561.90
2024-03-21T20:59:56,Profit,$1185.00
2024-03-21T20:59:56,Strategy,$4065.00
2024-03-21T20:59:56,Account,$254065.00
2024-03-22T11:56:04,Loss,$-275.00
2024-03-22T11:56:04,Strategy,$3790.00
2024-03-22T11:56:04,Account,$253790.00
2024-03-22T14:44:14,Profit,$440.00
2024-03-22T14:44:14,Strategy,$4230.00
2024-03-22T14:44:14,Account,$256010.00
2024-03-22T14:45:39,Profit,$1360.00
2024-03-22T14:45:39,Strategy,$5590.00
2024-03-22T14:45:39,Account,$255590.00
2024-03-22T14:52:08,Loss,$-1250.00
2024-03-22T14:52:08,Strategy,$4340.00
2024-03-22T14:52:08,Account,$254340.00
2024-03-22T15:15:18,Profit,$125.00
2024-03-22T15:15:18,Strategy,$4465.00
2024-03-22T15:15:18,Account,$254465.00
2024-03-22T15:26:53,Profit,$650.00
2024-03-22T15:26:53,Strategy,$5115.00
2024-03-22T15:26:53,Account,$255115.00
2024-03-22T17:40:02,Loss,$-375.00
2024-03-22T17:40:02,Strategy,$4740.00
2024-03-22T17:40:02,Account,$254740.00
2024-03-22T18:45:00,Loss,$-1225.00
2024-03-22T18:45:00,Strategy,$3515.00
2024-03-22T18:45:00,Account,$253515.00
2024-03-22T19:56:49,Loss,$-150.00
2024-03-22T19:56:49,Strategy,$3365.00
2024-03-22T19:56:49,Account,$253365.00
2024-03-22T20:19:34,Loss,$-1050.00
2024-03-22T20:19:34,Strategy,$2315.00
2024-03-22T20:19:34,Account,$252315.00
2024-03-25T06:01:31,Profit,$440.00
2024-03-25T06:01:31,Strategy,$2755.00
2024-03-25T06:01:31,Account,$254535.00
2024-03-25T07:01:42,Profit,$720.00
2024-03-25T07:01:42,Strategy,$3475.00
2024-03-25T07:01:42,Account,$255545.00
2024-03-25T07:05:01,Profit,$830.00
2024-03-25T07:05:01,Strategy,$4305.00
2024-03-25T07:05:01,Account,$255855.00
2024-03-25T07:21:18,Profit,$1690.00
2024-03-25T07:21:18,Strategy,$5995.00
2024-03-25T07:21:18,Account,$255995.00
2024-03-25T09:33:43,Loss,$-1450.00
2024-03-25T09:33:43,Strategy,$4545.00
2024-03-25T09:33:43,Account,$254545.00
2024-03-25T10:55:47,Profit,$440.00
2024-03-25T10:55:47,Strategy,$4985.00
2024-03-25T10:55:47,Account,$256765.00
2024-03-25T11:01:04,Profit,$1520.00
2024-03-25T11:01:04,Strategy,$6505.00
2024-03-25T11:01:04,Account,$256505.00
2024-03-25T14:16:46,Loss,$-1025.00
2024-03-25T14:16:46,Strategy,$5480.00
2024-03-25T14:16:46,Account,$255480.00
2024-03-25T14:40:28,Profit,$440.00
2024-03-25T14:40:28,Strategy,$5920.00
2024-03-25T14:40:28,Account,$257880.00
2024-03-25T14:41:17,Profit,$720.00
2024-03-25T14:41:17,Strategy,$6640.00
2024-03-25T14:41:17,Account,$258800.00
2024-03-25T14:41:33,Profit,$1830.00
2024-03-25T14:41:33,Strategy,$8470.00
2024-03-25T14:41:33,Account,$258470.00
2024-03-25T15:48:21,Profit,$25.00
2024-03-25T15:48:21,Strategy,$8495.00
2024-03-25T15:48:21,Account,$258495.00
2024-03-25T17:42:58,Loss,$-975.00
2024-03-25T17:42:58,Strategy,$7520.00
2024-03-25T17:42:58,Account,$257520.00
2024-03-25T18:14:12,Loss,$-1200.00
2024-03-25T18:14:12,Strategy,$6320.00
2024-03-25T18:14:12,Account,$256320.00
2024-03-25T20:12:43,Profit,$800.00
2024-03-25T20:12:43,Strategy,$7120.00
2024-03-25T20:12:43,Account,$257120.00
2024-03-25T20:54:40,Profit,$440.00
2024-03-25T20:54:40,Strategy,$7560.00
2024-03-25T20:54:40,Account,$259220.00
2024-03-25T20:54:50,Profit,$1400.00
2024-03-25T20:54:50,Strategy,$8960.00
2024-03-25T20:54:50,Account,$258960.00
2024-03-26T08:53:07,Profit,$440.00
2024-03-26T08:53:07,Strategy,$9400.00
2024-03-26T08:53:07,Account,$261140.00
2024-03-26T08:54:53,Profit,$1440.00
2024-03-26T08:54:53,Strategy,$10840.00
2024-03-26T08:54:53,Account,$260840.00
2024-03-26T13:35:32,Profit,$900.00
2024-03-26T13:35:32,Strategy,$11740.00
2024-03-26T13:35:32,Account,$261740.00
2024-03-26T13:43:14,Profit,$440.00
2024-03-26T13:43:14,Strategy,$12180.00
2024-03-26T13:43:14,Account,$263980.00
2024-03-26T13:43:16,Profit,$1000.00
2024-03-26T13:43:16,Strategy,$13180.00
2024-03-26T13:43:16,Account,$263180.00
2024-03-26T14:27:46,Loss,$-800.00
2024-03-26T14:27:46,Strategy,$12380.00
2024-03-26T14:27:46,Account,$262380.00
2024-03-26T14:30:41,Loss,$-1200.00
2024-03-26T14:30:41,Strategy,$11180.00
2024-03-26T14:30:41,Account,$261180.00
2024-03-26T14:58:30,Loss,$-1075.00
2024-03-26T14:58:30,Strategy,$10105.00
2024-03-26T14:58:30,Account,$260105.00
2024-03-26T15:29:14,Profit,$440.00
2024-03-26T15:29:14,Strategy,$10545.00
2024-03-26T15:29:14,Account,$262265.00
2024-03-26T15:29:22,Profit,$720.00
2024-03-26T15:29:22,Strategy,$11265.00
2024-03-26T15:29:22,Account,$263335.00
2024-03-26T15:29:22,Profit,$1695.00
2024-03-26T15:29:22,Strategy,$12960.00
2024-03-26T15:29:22,Account,$262960.00
2024-03-26T15:49:39,Loss,$-550.00
2024-03-26T15:49:39,Strategy,$12410.00
2024-03-26T15:49:39,Account,$262410.00
2024-03-26T18:07:04,Loss,$-1550.00
2024-03-26T18:07:04,Strategy,$10860.00
2024-03-26T18:07:04,Account,$260860.00
2024-03-26T18:56:00,Loss,$-700.00
2024-03-26T18:56:00,Strategy,$10160.00
2024-03-26T18:56:00,Account,$260160.00
2024-03-26T19:53:21,Loss,$-700.00
2024-03-26T19:53:21,Strategy,$9460.00
2024-03-26T19:53:21,Account,$259460.00
2024-03-26T20:25:19,Profit,$440.00
2024-03-26T20:25:19,Strategy,$9900.00
2024-03-26T20:25:19,Account,$261660.00
2024-03-26T20:29:21,Profit,$720.00
2024-03-26T20:29:21,Strategy,$10620.00
2024-03-26T20:29:21,Account,$262750.00
2024-03-26T20:29:29,Profit,$1920.00
2024-03-26T20:29:29,Strategy,$12540.00
2024-03-26T20:29:29,Account,$262540.00
2024-03-26T20:56:45,Profit,$440.00
2024-03-26T20:56:45,Strategy,$12980.00
2024-03-26T20:56:45,Account,$264740.00
2024-03-26T20:57:00,Profit,$1200.00
2024-03-26T20:57:00,Strategy,$14180.00
2024-03-26T20:57:00,Account,$264180.00
2024-03-27T14:54:21,Profit,$440.00
2024-03-27T14:54:21,Strategy,$14620.00
2024-03-27T14:54:21,Account,$266460.00
2024-03-27T14:54:35,Profit,$720.00
2024-03-27T14:54:35,Strategy,$15340.00
2024-03-27T14:54:35,Account,$267620.00
2024-03-27T14:54:38,Profit,$1815.00
2024-03-27T14:54:38,Strategy,$17155.00
2024-03-27T14:54:38,Account,$267155.00
2024-03-27T15:12:52,Profit,$440.00
2024-03-27T15:12:52,Strategy,$17595.00
2024-03-27T15:12:52,Account,$269535.00
2024-03-27T15:12:57,Profit,$1260.00
2024-03-27T15:12:57,Strategy,$18855.00
2024-03-27T15:12:57,Account,$268855.00
2024-03-27T16:08:07,Loss,$-1175.00
2024-03-27T16:08:07,Strategy,$17680.00
2024-03-27T16:08:07,Account,$267680.00
2024-03-27T16:17:06,Loss,$-1750.00
2024-03-27T16:17:06,Strategy,$15930.00
2024-03-27T16:17:06,Account,$265930.00
2024-03-27T23:31:17,Loss,$-850.00
2024-03-27T23:31:17,Strategy,$15080.00
2024-03-27T23:31:17,Account,$265080.00
2024-03-28T01:09:48,Loss,$-850.00
2024-03-28T01:09:48,Strategy,$14230.00
2024-03-28T01:09:48,Account,$264230.00
2024-03-28T15:09:20,Profit,$440.00
2024-03-28T15:09:20,Strategy,$14670.00
2024-03-28T15:09:20,Account,$266390.00
2024-03-28T15:13:04,Profit,$720.00
2024-03-28T15:13:04,Strategy,$15390.00
2024-03-28T15:13:04,Account,$267625.00
2024-03-28T15:13:32,Profit,$830.00
2024-03-28T15:13:32,Strategy,$16220.00
2024-03-28T15:13:32,Account,$267860.00
2024-03-28T15:13:32,Profit,$1290.00
2024-03-28T15:13:32,Strategy,$17510.00
2024-03-28T15:13:32,Account,$267510.00
2024-03-28T15:28:08,Loss,$-1175.00
2024-03-28T15:28:08,Strategy,$16335.00
2024-03-28T15:28:08,Account,$266335.00
2024-03-28T16:48:45,Loss,$-450.00
2024-03-28T16:48:45,Strategy,$15885.00
2024-03-28T16:48:45,Account,$265885.00
2024-03-28T17:07:32,Profit,$1125.00
2024-03-28T17:07:32,Strategy,$17010.00
2024-03-28T17:07:32,Account,$267010.00
2024-03-28T18:05:31,Profit,$25.00
2024-03-28T18:05:31,Strategy,$17035.00
2024-03-28T18:05:31,Account,$267035.00
2024-03-28T19:47:25,Loss,$-525.00
2024-03-28T19:47:25,Strategy,$16510.00
2024-03-28T19:47:25,Account,$266510.00
2024-03-28T20:59:58,Profit,$440.00
2024-03-28T20:59:58,Strategy,$16950.00
2024-03-28T20:59:58,Account,$268410.00
2024-03-28T20:59:58,Exit on session close,18464.31
2024-03-28T20:59:58,Profit,$1355.00
2024-03-28T20:59:58,Strategy,$18305.00
2024-03-28T20:59:58,Account,$268305.00
2024-03-28T21:39:21,Profit,$1460.00
2024-03-28T21:39:21,Strategy,$19765.00
2024-03-28T21:39:21,Account,$269315.00
2024-04-01T00:00:00,Loss,$-2615.00
2024-04-01T00:00:00,Strategy,$17150.00
2024-04-01T00:00:00,Account,$267150.00
2024-04-01T10:10:03,Profit,$440.00
2024-04-01T10:10:03,Strategy,$17590.00
2024-04-01T10:10:03,Account,$269430.00
2024-04-01T10:10:41,Profit,$1440.00
2024-04-01T10:10:41,Strategy,$19030.00
2024-04-01T10:10:41,Account,$269030.00
2024-04-01T13:20:07,Profit,$440.00
2024-04-01T13:20:07,Strategy,$19470.00
2024-04-01T13:20:07,Account,$271210.00
2024-04-01T13:30:08,Profit,$720.00
2024-04-01T13:30:08,Strategy,$20190.00
2024-04-01T13:30:08,Account,$272260.00
2024-04-01T13:30:48,Profit,$1710.00
2024-04-01T13:30:48,Strategy,$21900.00
2024-04-01T13:30:48,Account,$271900.00
2024-04-01T15:16:14,Profit,$440.00
2024-04-01T15:16:14,Strategy,$22340.00
2024-04-01T15:16:14,Account,$274020.00
2024-04-01T15:16:40,Profit,$1180.00
2024-04-01T15:16:40,Strategy,$23520.00
2024-04-01T15:16:40,Account,$273520.00
2024-04-01T15:50:22,Loss,$-325.00
2024-04-01T15:50:22,Strategy,$23195.00
2024-04-01T15:50:22,Account,$273195.00
2024-04-01T16:04:24,Profit,$440.00
2024-04-01T16:04:24,Strategy,$23635.00
2024-04-01T16:04:24,Account,$275435.00
2024-04-01T16:04:52,Profit,$720.00
2024-04-01T16:04:52,Strategy,$24355.00
2024-04-01T16:04:52,Account,$276275.00
2024-04-01T16:04:52,Profit,$1620.00
2024-04-01T16:04:52,Strategy,$25975.00
2024-04-01T16:04:52,Account,$275975.00
2024-04-01T16:33:09,Profit,$775.00
2024-04-01T16:33:09,Strategy,$26750.00
2024-04-01T16:33:09,Account,$276750.00
2024-04-01T16:39:14,Profit,$440.00
2024-04-01T16:39:14,Strategy,$27190.00
2024-04-01T16:39:14,Account,$278990.00
2024-04-01T16:39:24,Profit,$720.00
2024-04-01T16:39:24,Strategy,$27910.00
2024-04-01T16:39:24,Account,$279860.00
2024-04-01T16:39:24,Profit,$1560.00
2024-04-01T16:39:24,Strategy,$29470.00
2024-04-01T16:39:24,Account,$279470.00
2024-04-01T17:07:26,Loss,$-1875.00
2024-04-01T17:07:26,Strategy,$27595.00
2024-04-01T17:07:26,Account,$277595.00
2024-04-01T17:15:44,Profit,$440.00
2024-04-01T17:15:44,Strategy,$28035.00
2024-04-01T17:15:44,Account,$279715.00
2024-04-01T17:16:14,Profit,$720.00
2024-04-01T17:16:14,Strategy,$28755.00
2024-04-01T17:16:14,Account,$281110.00
2024-04-01T17:16:19,Profit,$830.00
2024-04-01T17:16:19,Strategy,$29585.00
2024-04-01T17:16:19,Account,$281205.00
2024-04-01T17:16:19,Profit,$1360.00
2024-04-01T17:16:19,Strategy,$30945.00
2024-04-01T17:16:19,Account,$280945.00
2024-04-01T21:05:04,Loss,$-750.00
2024-04-01T21:05:04,Strategy,$30195.00
2024-04-01T21:05:04,Account,$280195.00
2024-04-01T21:33:10,Loss,$-1000.00
2024-04-01T21:33:10,Strategy,$29195.00
2024-04-01T21:33:10,Account,$279195.00
2024-04-01T21:54:30,Loss,$-2600.00
2024-04-01T21:54:30,Strategy,$26595.00
2024-04-01T21:54:30,Account,$276595.00
2024-04-02T00:30:27,Profit,$440.00
2024-04-02T00:30:27,Strategy,$27035.00
2024-04-02T00:30:27,Account,$278855.00
2024-04-02T01:42:52,Profit,$720.00
2024-04-02T01:42:52,Strategy,$27755.00
2024-04-02T01:42:52,Account,$279930.00
2024-04-02T01:45:05,Profit,$1560.00
2024-04-02T01:45:05,Strategy,$29315.00
2024-04-02T01:45:05,Account,$279315.00
2024-04-02T08:00:05,Profit,$50.00
2024-04-02T08:00:05,Strategy,$29365.00
2024-04-02T08:00:05,Account,$279365.00
2024-04-02T09:10:01,Loss,$-1925.00
2024-04-02T09:10:01,Strategy,$27440.00
2024-04-02T09:10:01,Account,$277440.00
2024-04-02T13:23:38,Profit,$825.00
2024-04-02T13:23:38,Strategy,$28265.00
2024-04-02T13:23:38,Account,$278265.00
2024-04-02T14:15:15,Profit,$600.00
2024-04-02T14:15:15,Strategy,$28865.00
2024-04-02T14:15:15,Account,$278865.00
2024-04-02T15:10:08,Profit,$440.00
2024-04-02T15:10:08,Strategy,$29305.00
2024-04-02T15:10:08,Account,$281145.00
2024-04-02T15:11:40,Profit,$1680.00
2024-04-02T15:11:40,Strategy,$30985.00
2024-04-02T15:11:40,Account,$280985.00
2024-04-02T15:31:58,Loss,$-1150.00
2024-04-02T15:31:58,Strategy,$29835.00
2024-04-02T15:31:58,Account,$279835.00
2024-04-02T15:35:11,Loss,$-225.00
2024-04-02T15:35:11,Strategy,$29610.00
2024-04-02T15:35:11,Account,$279610.00
2024-04-02T15:39:16,Profit,$440.00
2024-04-02T15:39:16,Strategy,$30050.00
2024-04-02T15:39:16,Account,$281650.00
2024-04-02T15:40:18,Profit,$720.00
2024-04-02T15:40:18,Strategy,$30770.00
2024-04-02T15:40:18,Account,$283005.00
2024-04-02T15:40:21,Profit,$830.00
2024-04-02T15:40:21,Strategy,$31600.00
2024-04-02T15:40:21,Account,$283330.00
2024-04-02T15:41:07,Profit,$1500.00
2024-04-02T15:41:07,Strategy,$33100.00
2024-04-02T15:41:07,Account,$283100.00
2024-04-02T15:59:55,Loss,$-1300.00
2024-04-02T15:59:55,Strategy,$31800.00
2024-04-02T15:59:55,Account,$281800.00
2024-04-02T16:36:01,Loss,$-1000.00
2024-04-02T16:36:01,Strategy,$30800.00
2024-04-02T16:36:01,Account,$280800.00
2024-04-02T16:43:18,Loss,$-1600.00
2024-04-02T16:43:18,Strategy,$29200.00
2024-04-02T16:43:18,Account,$279200.00
2024-04-02T18:26:32,Loss,$-1800.00
2024-04-02T18:26:32,Strategy,$27400.00
2024-04-02T18:26:32,Account,$277400.00
2024-04-02T20:21:24,Loss,$-1825.00
2024-04-02T20:21:24,Strategy,$25575.00
2024-04-02T20:21:24,Account,$275575.00
2024-04-02T20:41:29,Loss,$-1050.00
2024-04-02T20:41:29,Strategy,$24525.00
2024-04-02T20:41:29,Account,$274525.00
2024-04-02T20:53:16,Loss,$-775.00
